,Column1
0,"3 Biotech, 3 Biotech"
1,"Acta parasitologica, Acta Parasitol."
2,"Acta reumatologica portuguesa, Acta Reumatol Port"
3,"Acta veterinaria Hungarica, Acta Vet. Hung."
4,"Advances in clinical and experimental medicine : official organ Wroclaw Medical University, Adv Clin Exp Med"
5,"Aging clinical and experimental research, Aging Clin Exp Res"
6,"Aging, Aging (Albany NY)"
7,"American journal of human genetics, Am. J. Hum. Genet."
8,"American journal of medical genetics. Part B, Neuropsychiatric genetics : the official publication of the International Society of Psychiatric Genetics, Am. J. Med. Genet. B Neuropsychiatr. Genet."
9,"Anaerobe, Anaerobe"
10,"Andrologia, Andrologia"
11,"Animal : an international journal of animal bioscience, Animal"
12,"Annals of anatomy = Anatomischer Anzeiger : official organ of the Anatomische Gesellschaft, Ann. Anat."
13,"Annals of translational medicine, Ann Transl Med"
14,"Antonie van Leeuwenhoek, Antonie Van Leeuwenhoek"
15,"Applied and environmental microbiology, Appl. Environ. Microbiol."
16,"Applied biochemistry and biotechnology, Appl. Biochem. Biotechnol."
17,"Applied microbiology and biotechnology, Appl. Microbiol. Biotechnol."
18,"Aquatic toxicology (Amsterdam, Netherlands), Aquat. Toxicol."
19,"Archives of dermatological research, Arch. Dermatol. Res."
20,"Archives of gynecology and obstetrics, Arch. Gynecol. Obstet."
21,"Archives of insect biochemistry and physiology, Arch. Insect Biochem. Physiol."
22,"Archives of oral biology, Arch. Oral Biol."
23,"Archives of virology, Arch. Virol."
24,"Asia-Pacific journal of ophthalmology (Philadelphia, Pa.), Asia Pac J Ophthalmol (Phila)"
25,"Asia-Pacific psychiatry : official journal of the Pacific Rim College of Psychiatrists, Asia Pac Psychiatry"
26,"BMB reports, BMB Rep"
27,"BMC bioinformatics, BMC Bioinformatics"
28,"BMC biology, BMC Biol."
29,"BMC biotechnology, BMC Biotechnol."
30,"BMC cancer, BMC Cancer"
31,"BMC cardiovascular disorders, BMC Cardiovasc Disord"
32,"BMC evolutionary biology, BMC Evol. Biol."
33,"BMC genetics, BMC Genet."
34,"BMC genomics, BMC Genomics"
35,"BMC immunology, BMC Immunol."
36,"BMC medical ethics, BMC Med Ethics"
37,"BMC medical genetics, BMC Med. Genet."
38,"BMC medical genomics, BMC Med Genomics"
39,"BMC microbiology, BMC Microbiol."
40,"BMC molecular biology, BMC Mol. Biol."
41,"BMC neuroscience, BMC Neurosci"
42,"BMC plant biology, BMC Plant Biol."
43,"BMC research notes, BMC Res Notes"
44,"BMC systems biology, BMC Syst Biol"
45,"Behavioural brain research, Behav. Brain Res."
46,"Beijing da xue xue bao. Yi xue ban = Journal of Peking University. Health sciences, Beijing Da Xue Xue Bao"
47,"Bio Systems, BioSystems"
48,"BioMed research international, Biomed Res Int"
49,"Biochemical genetics, Biochem. Genet."
50,"Biochimica et biophysica acta. Molecular basis of disease, Biochim Biophys Acta Mol Basis Dis"
51,"Bioinformatics (Oxford, England), Bioinformatics"
52,"Biological research, Biol. Res."
53,"Biological trace element research, Biol Trace Elem Res"
54,"Biology methods & protocols, Biol Methods Protoc"
55,"Biomedical reports, Biomed Rep"
56,"Biomedicine & pharmacotherapy = Biomedecine & pharmacotherapie, Biomed. Pharmacother."
57,"Biometals : an international journal on the role of metal ions in biology, biochemistry, and medicine, Biometals"
58,"Biomolecules, Biomolecules"
59,"Bioresource technology, Bioresour. Technol."
60,"Bioscience reports, Biosci. Rep."
61,"Biotechnology and applied biochemistry, Biotechnol. Appl. Biochem."
62,"Biotechnology for biofuels, Biotechnol Biofuels"
63,"Biotechnology letters, Biotechnol. Lett."
64,"Bone, Bone"
65,"Brain research bulletin, Brain Res. Bull."
66,"Brazilian journal of biology = Revista brasleira de biologia, Braz J Biol"
67,"Breast cancer research and treatment, Breast Cancer Res. Treat."
68,"Briefings in functional genomics, Brief Funct Genomics"
69,"Bulletin of entomological research, Bull. Entomol. Res."
70,"Canadian journal of microbiology, Can. J. Microbiol."
71,"Cancer biology & therapy, Cancer Biol. Ther."
72,"Cancer biomarkers : section A of Disease markers, Cancer Biomark"
73,"Cancer gene therapy, Cancer Gene Ther."
74,"Cancer genetics, Cancer Genet"
75,"Cancer informatics, Cancer Inform"
76,"Cancer investigation, Cancer Invest."
77,"Cancer management and research, Cancer Manag Res"
78,"Cancer medicine, Cancer Med"
79,"Cardiovascular research, Cardiovasc. Res."
80,"Cell biochemistry and biophysics, Cell Biochem. Biophys."
81,"Cell cycle (Georgetown, Tex.), Cell Cycle"
82,"Cell journal, Cell J"
83,"Cell reports, Cell Rep"
84,"Cells, Cells"
85,"Cellular oncology (Dordrecht), Cell Oncol (Dordr)"
86,"Cellular physiology and biochemistry : international journal of experimental cellular physiology, biochemistry, and pharmacology, Cell. Physiol. Biochem."
87,"Chromosoma, Chromosoma"
88,"Chronobiology international, Chronobiol. Int."
89,"Circulation, Circulation"
90,"Clinical and translational science, Clin Transl Sci"
91,"Computational and mathematical methods in medicine, Comput Math Methods Med"
92,"Computational and structural biotechnology journal, Comput Struct Biotechnol J"
93,"Computational biology and chemistry, Comput Biol Chem"
94,"Computers in biology and medicine, Comput. Biol. Med."
95,"Critical reviews in eukaryotic gene expression, Crit. Rev. Eukaryot. Gene Expr."
96,"Current genetics, Curr. Genet."
97,"Current molecular pharmacology, Curr Mol Pharmacol"
98,"Cytokine, Cytokine"
99,"DNA research : an international journal for rapid publication of reports on genes and genomes, DNA Res."
100,"Data in brief, Data Brief"
101,"Developmental biology, Dev. Biol."
102,"Discovery medicine, Discov Med"
103,"Disease models & mechanisms, Dis Model Mech"
104,"Ecotoxicology and environmental safety, Ecotoxicol. Environ. Saf."
105,"Endocrine journal, Endocr. J."
106,"Endocrine, Endocrine"
107,"Environmental microbiology, Environ. Microbiol."
108,"Environmental pollution (Barking, Essex : 1987), Environ. Pollut."
109,"Environmental science & technology, Environ. Sci. Technol."
110,"Environmental toxicology and pharmacology, Environ. Toxicol. Pharmacol."
111,"Enzyme and microbial technology, Enzyme Microb. Technol."
112,"Epigenetics & chromatin, Epigenetics Chromatin"
113,"Ethiopian journal of health sciences, Ethiop J Health Sci"
114,"Eukaryotic cell, Eukaryotic Cell"
115,"European journal of cancer prevention : the official journal of the European Cancer Prevention Organisation (ECP), Eur. J. Cancer Prev."
116,"Experimental and therapeutic medicine, Exp Ther Med"
117,"Experimental physiology, Exp. Physiol."
118,"FEBS open bio, FEBS Open Bio"
119,"FEMS microbiology letters, FEMS Microbiol. Lett."
120,"Fish & shellfish immunology, Fish Shellfish Immunol."
121,"Fish physiology and biochemistry, Fish Physiol. Biochem."
122,"Frontiers in bioengineering and biotechnology, Front Bioeng Biotechnol"
123,"Frontiers in genetics, Front Genet"
124,"Frontiers in immunology, Front Immunol"
125,"Frontiers in medicine, Front Med (Lausanne)"
126,"Frontiers in microbiology, Front Microbiol"
127,"Frontiers in oncology, Front Oncol"
128,"Frontiers in physiology, Front Physiol"
129,"Frontiers in plant science, Front Plant Sci"
130,"Frontiers in systems neuroscience, Front Syst Neurosci"
131,"Functional & integrative genomics, Funct. Integr. Genomics"
132,"Fungal genetics and biology : FG & B, Fungal Genet. Biol."
133,"G3 (Bethesda, Md.), G3 (Bethesda)"
134,"Gene expression patterns : GEP, Gene Expr. Patterns"
135,"Gene reports, Gene Rep"
136,"Gene, Gene"
137,"Genes & genetic systems, Genes Genet. Syst."
138,"Genes & genomics, Genes Genomics"
139,"Genes and immunity, Genes Immun."
140,"Genes, Genes (Basel)"
141,"Genetic epidemiology, Genet. Epidemiol."
142,"Genetic testing and molecular biomarkers, Genet Test Mol Biomarkers"
143,"Genetics and molecular research : GMR, Genet. Mol. Res."
144,"Genetics, Genetics"
145,"Genetics, selection, evolution : GSE, Genet. Sel. Evol."
146,"Genome biology and evolution, Genome Biol Evol"
147,"Genome biology, Genome Biol."
148,"Genome medicine, Genome Med"
149,"Genome research, Genome Res."
150,"Genome, Genome"
151,"GigaScience, Gigascience"
152,"Glycobiology, Glycobiology"
153,"Hematology (Amsterdam, Netherlands), Hematology"
154,"Hepatology research : the official journal of the Japan Society of Hepatology, Hepatol. Res."
155,"Hereditas, Hereditas"
156,"Histopathology, Histopathology"
157,"Huan jing ke xue= Huanjing kexue, Huan Jing Ke Xue"
158,"Human genetics, Hum. Genet."
159,"Human molecular genetics, Hum. Mol. Genet."
160,"Human mutation, Hum. Mutat."
161,"IEEE/ACM transactions on computational biology and bioinformatics, IEEE/ACM Trans Comput Biol Bioinform"
162,"IET systems biology, IET Syst Biol"
163,"Infection, genetics and evolution : journal of molecular epidemiology and evolutionary genetics in infectious diseases, Infect. Genet. Evol."
164,"Inflammatory bowel diseases, Inflamm. Bowel Dis."
165,"Insect biochemistry and molecular biology, Insect Biochem. Mol. Biol."
166,"Insect molecular biology, Insect Mol. Biol."
167,"Insects, Insects"
168,"Interdisciplinary sciences, computational life sciences, Interdiscip Sci"
169,"International journal for parasitology, Int. J. Parasitol."
170,"International journal of antimicrobial agents, Int. J. Antimicrob. Agents"
171,"International journal of cancer, Int. J. Cancer"
172,"International journal of food microbiology, Int. J. Food Microbiol."
173,"International journal of genomics, Int J Genomics"
174,"International journal of immunogenetics, Int. J. Immunogenet."
175,"International journal of legal medicine, Int. J. Legal Med."
176,"International journal of medicinal mushrooms, Int J Med Mushrooms"
177,"International journal of molecular epidemiology and genetics, Int J Mol Epidemiol Genet"
178,"International journal of molecular medicine, Int. J. Mol. Med."
179,"International journal of molecular sciences, Int J Mol Sci"
180,"International journal of obesity (2005), Int J Obes (Lond)"
181,"International journal of ophthalmology, Int J Ophthalmol"
182,"International journal of rheumatic diseases, Int J Rheum Dis"
183,"International journal of systematic and evolutionary microbiology, Int. J. Syst. Evol. Microbiol."
184,"Iranian journal of basic medical sciences, Iran J Basic Med Sci"
185,"Iranian journal of pathology, Iran J Pathol"
186,"Journal of Alzheimer's disease : JAD, J. Alzheimers Dis."
187,"Journal of Cancer, J Cancer"
188,"Journal of affective disorders, J Affect Disord"
189,"Journal of agricultural and food chemistry, J. Agric. Food Chem."
190,"Journal of applied genetics, J. Appl. Genet."
191,"Journal of applied microbiology, J. Appl. Microbiol."
192,"Journal of bioinformatics and computational biology, J Bioinform Comput Biol"
193,"Journal of biomedical informatics, J Biomed Inform"
194,"Journal of biomedical semantics, J Biomed Semantics"
195,"Journal of bioscience and bioengineering, J. Biosci. Bioeng."
196,"Journal of biotechnology, J. Biotechnol."
197,"Journal of cancer research and clinical oncology, J. Cancer Res. Clin. Oncol."
198,"Journal of cardiovascular translational research, J Cardiovasc Transl Res"
199,"Journal of cellular and molecular medicine, J. Cell. Mol. Med."
200,"Journal of cellular biochemistry, J. Cell. Biochem."
201,"Journal of cellular physiology, J. Cell. Physiol."
202,"Journal of child psychology and psychiatry, and allied disciplines, J Child Psychol Psychiatry"
203,"Journal of clinical neurology (Seoul, Korea), J Clin Neurol"
204,"Journal of computational biology : a journal of computational molecular cell biology, J. Comput. Biol."
205,"Journal of economic entomology, J. Econ. Entomol."
206,"Journal of environmental science and health. Part. B, Pesticides, food contaminants, and agricultural wastes, J Environ Sci Health B"
207,"Journal of experimental botany, J. Exp. Bot."
208,"Journal of fish biology, J. Fish Biol."
209,"Journal of genetics, J. Genet."
210,"Journal of global antimicrobial resistance, J Glob Antimicrob Resist"
211,"Journal of hazardous materials, J. Hazard. Mater."
212,"Journal of immunological methods, J. Immunol. Methods"
213,"Journal of immunology (Baltimore, Md. : 1950), J. Immunol."
214,"Journal of immunology research, J Immunol Res"
215,"Journal of insect physiology, J. Insect Physiol."
216,"Journal of insect science (Online), J. Insect Sci."
217,"Journal of invertebrate pathology, J. Invertebr. Pathol."
218,"Journal of microbiological methods, J. Microbiol. Methods"
219,"Journal of molecular evolution, J. Mol. Evol."
220,"Journal of molecular neuroscience : MN, J. Mol. Neurosci."
221,"Journal of neuroscience research, J. Neurosci. Res."
222,"Journal of orthopaedic surgery and research, J Orthop Surg Res"
223,"Journal of plant research, J. Plant Res."
224,"Journal of psychopharmacology (Oxford, England), J. Psychopharmacol. (Oxford)"
225,"Journal of the science of food and agriculture, J. Sci. Food Agric."
226,"Journal of theoretical biology, J. Theor. Biol."
227,"Journal of thoracic disease, J Thorac Dis"
228,"Journal of translational medicine, J Transl Med"
229,"Journal of virology, J. Virol."
230,"Lab on a chip, Lab Chip"
231,"Le infezioni in medicina, Infez Med"
232,"Letters in applied microbiology, Lett. Appl. Microbiol."
233,"Lipids, Lipids"
234,"Mammalian genome : official journal of the International Mammalian Genome Society, Mamm. Genome"
235,"Marine biotechnology (New York, N.Y.), Mar. Biotechnol."
236,"Mathematical biosciences, Math Biosci"
237,"Medical science monitor : international medical journal of experimental and clinical research, Med. Sci. Monit."
238,"Medicinal chemistry (Shariqah (United Arab Emirates)), Med Chem"
239,"Medicine, Medicine (Baltimore)"
240,"Melanoma research, Melanoma Res."
241,"Methods (San Diego, Calif.), Methods"
242,"Methods in molecular biology (Clifton, N.J.), Methods Mol. Biol."
243,"Microbial cell factories, Microb. Cell Fact."
244,"Microbial ecology, Microb. Ecol."
245,"Microbial pathogenesis, Microb. Pathog."
246,"Microbiological research, Microbiol. Res."
247,"Microbiology (Reading, England), Microbiology (Reading, Engl.)"
248,"Microbiome, Microbiome"
249,"Microorganisms, Microorganisms"
250,"Molecular and cellular biochemistry, Mol. Cell. Biochem."
251,"Molecular and cellular neurosciences, Mol. Cell. Neurosci."
252,"Molecular and cellular probes, Mol. Cell. Probes"
253,"Molecular bioSystems, Mol Biosyst"
254,"Molecular biology and evolution, Mol. Biol. Evol."
255,"Molecular biology reports, Mol. Biol. Rep."
256,"Molecular ecology, Mol. Ecol."
257,"Molecular genetics & genomic medicine, Mol Genet Genomic Med"
258,"Molecular genetics and genomics : MGG, Mol. Genet. Genomics"
259,"Molecular human reproduction, Mol. Hum. Reprod."
260,"Molecular imaging and biology, Mol Imaging Biol"
261,"Molecular medicine reports, Mol Med Rep"
262,"Molecular microbiology, Mol. Microbiol."
263,"Molecular neurobiology, Mol. Neurobiol."
264,"Molecular oncology, Mol Oncol"
265,"Molecular phylogenetics and evolution, Mol. Phylogenet. Evol."
266,"Molecular plant pathology, Mol. Plant Pathol."
267,"Molecules (Basel, Switzerland), Molecules"
268,"Molekuliarnaia biologiia, Mol. Biol. (Mosk.)"
269,"NPJ genomic medicine, NPJ Genom Med"
270,"Nature genetics, Nat. Genet."
271,"Nephrology, dialysis, transplantation : official publication of the European Dialysis and Transplant Association - European Renal Association, Nephrol. Dial. Transplant."
272,"Neural development, Neural Dev"
273,"Neurogenetics, Neurogenetics"
274,"Neurological research, Neurol. Res."
275,"Neuropsychiatric disease and treatment, Neuropsychiatr Dis Treat"
276,"Nitric oxide : biology and chemistry, Nitric Oxide"
277,"Nucleic acids research, Nucleic Acids Res."
278,"Nutrients, Nutrients"
279,"OncoTargets and therapy, Onco Targets Ther"
280,"Oncogene, Oncogene"
281,"Oncology letters, Oncol Lett"
282,"Oncology reports, Oncol. Rep."
283,"Oncotarget, Oncotarget"
284,"PLoS genetics, PLoS Genet."
285,"Pathologie-biologie, Pathol. Biol."
286,"Pathology oncology research : POR, Pathol. Oncol. Res."
287,"Pathology, research and practice, Pathol. Res. Pract."
288,"Pediatric research, Pediatr. Res."
289,"PeerJ, PeerJ"
290,"Pest management science, Pest Manag. Sci."
291,"Pesticide biochemistry and physiology, Pestic Biochem Physiol"
292,"Philosophical transactions of the Royal Society of London. Series B, Biological sciences, Philos. Trans. R. Soc. Lond., B, Biol. Sci."
293,"Physiological genomics, Physiol. Genomics"
294,"Physiological research, Physiol Res"
295,"Physiology and molecular biology of plants : an international journal of functional plant biology, Physiol Mol Biol Plants"
296,"Phytopathology, Phytopathology"
297,"Plant & cell physiology, Plant Cell Physiol."
298,"Plant biology (Stuttgart, Germany), Plant Biol (Stuttg)"
299,"Plant biotechnology journal, Plant Biotechnol. J."
300,"Plant cell reports, Plant Cell Rep."
301,"Plant disease, Plant Dis."
302,"Plant methods, Plant Methods"
303,"Plant molecular biology, Plant Mol. Biol."
304,"Plant physiology and biochemistry : PPB, Plant Physiol. Biochem."
305,"Plant physiology, Plant Physiol."
306,"Plant, cell & environment, Plant Cell Environ."
307,"Planta, Planta"
308,"Plastic and reconstructive surgery, Plast. Reconstr. Surg."
309,"PloS one, PLoS ONE"
310,"Polish journal of veterinary sciences, Pol J Vet Sci"
311,"Poultry science, Poult. Sci."
312,"Proceedings of the National Academy of Sciences of the United States of America, Proc. Natl. Acad. Sci. U.S.A."
313,"Progress in neuro-psychopharmacology & biological psychiatry, Prog. Neuropsychopharmacol. Biol. Psychiatry"
314,"Psychopharmacology, Psychopharmacology (Berl.)"
315,"Radiation and environmental biophysics, Radiat Environ Biophys"
316,"Radiation research, Radiat. Res."
317,"Research in microbiology, Res. Microbiol."
318,"Rice (New York, N.Y.), Rice (N Y)"
319,"Scientific reports, Sci Rep"
320,"Surgical oncology, Surg Oncol"
321,"TAG. Theoretical and applied genetics. Theoretische und angewandte Genetik, Theor. Appl. Genet."
322,"Technology in cancer research & treatment, Technol. Cancer Res. Treat."
323,"The Journal of allergy and clinical immunology, J. Allergy Clin. Immunol."
324,"The Journal of biological chemistry, J. Biol. Chem."
325,"The Journal of general and applied microbiology, J. Gen. Appl. Microbiol."
326,"The Journal of international medical research, J. Int. Med. Res."
327,"The New phytologist, New Phytol."
328,"The Plant cell, Plant Cell"
329,"The Plant journal : for cell and molecular biology, Plant J."
330,"The Science of the total environment, Sci. Total Environ."
331,"The journals of gerontology. Series A, Biological sciences and medical sciences, J. Gerontol. A Biol. Sci. Med. Sci."
332,"The world journal of biological psychiatry : the official journal of the World Federation of Societies of Biological Psychiatry, World J. Biol. Psychiatry"
333,"Theriogenology, Theriogenology"
334,"Toxicology and industrial health, Toxicol Ind Health"
335,"Toxins, Toxins (Basel)"
336,"Transcription, Transcription"
337,"Translational psychiatry, Transl Psychiatry"
338,"Transplantation proceedings, Transplant. Proc."
339,"Tree physiology, Tree Physiol."
340,"Tumori, Tumori"
341,"Twin research and human genetics : the official journal of the International Society for Twin Studies, Twin Res Hum Genet"
342,"Vascular, Vascular"
343,"Veterinary immunology and immunopathology, Vet. Immunol. Immunopathol."
344,"Veterinary microbiology, Vet. Microbiol."
345,"Virology, Virology"
346,"Virulence, Virulence"
347,"Viruses, Viruses"
348,"Water environment research : a research publication of the Water Environment Federation, Water Environ. Res."
349,"World journal of gastroenterology, World J. Gastroenterol."
350,"World journal of microbiology & biotechnology, World J. Microbiol. Biotechnol."
351,"World journal of surgical oncology, World J Surg Oncol"
352,"Ying yong sheng tai xue bao = The journal of applied ecology, Ying Yong Sheng Tai Xue Bao"
353,"Yonsei medical journal, Yonsei Med. J."
354,"Zeitschrift fur Naturforschung. C, Journal of biosciences, Z. Naturforsch., C, J. Biosci."
355,"Zoological science, Zool. Sci."
